Date;Country;RegionName;HospitalizedPatients;IntensiveCarePatients;TotalHospitalizedPatients;HomeConfinement;CurrentPositiveCases;NewPositiveCases;Recovered;Deaths;TotalPositiveCases
27/02/2020 18:00;ITA;Veneto;19;8;27;82;109;40;0;2;111
27/02/2020 18:00;ITA;Trentino Alto Adige;1;0;1;0;1;0;0;0;1
28/02/2020 18:00;ITA;Abruzzo;1;0;1;0;1;0;0;0;1
28/02/2020 18:00;ITA;Basilicata;0;0;0;0;0;0;0;0;0
28/02/2020 18:00;ITA;Calabria;0;0;0;1;1;1;0;0;1
28/02/2020 18:00;ITA;Campania;2;0;2;2;4;1;0;0;4
28/02/2020 18:00;ITA;Emilia-Romagna;56;6;62;81;143;48;0;2;145
28/02/2020 18:00;ITA;Friuli Venezia Giulia;0;0;0;0;0;0;0;0;0
28/02/2020 18:00;ITA;Lazio;0;0;0;0;0;0;3;0;3
28/02/2020 18:00;ITA;Liguria;9;0;9;10;19;0;0;0;19
28/02/2020 18:00;ITA;Lombardia;235;47;282;192;474;128;40;17;531
28/02/2020 18:00;ITA;Marche;3;2;5;1;6;3;0;0;6
28/02/2020 18:00;ITA;Molise;0;0;0;0;0;0;0;0;0
28/02/2020 18:00;ITA;Piemonte;7;0;7;4;11;9;0;0;11
28/02/2020 18:00;ITA;Puglia;1;0;1;2;3;2;0;0;3
28/02/2020 18:00;ITA;Sardegna;0;0;0;0;0;0;0;0;0
28/02/2020 18:00;ITA;Sicilia;1;0;1;1;2;0;2;0;4
28/02/2020 18:00;ITA;Toscana;5;0;5;2;7;6;1;0;8
28/02/2020 18:00;ITA;Umbria;0;0;0;0;0;0;0;0;0
28/02/2020 18:00;ITA;Valle d'Aosta;0;0;0;0;0;0;0;0;0
28/02/2020 18:00;ITA;Veneto;24;9;33;116;149;40;0;2;151
28/02/2020 18:00;ITA;Trentino Alto Adige;1;0;1;0;1;0;0;0;1
29/02/2020 17:00;ITA;Abruzzo;2;0;2;0;2;1;0;0;2
29/02/2020 17:00;ITA;Basilicata;0;0;0;0;0;0;0;0;0
29/02/2020 17:00;ITA;Calabria;0;0;0;1;1;0;0;0;1
29/02/2020 17:00;ITA;Campania;3;0;3;10;13;9;0;0;13
29/02/2020 17:00;ITA;Emilia-Romagna;86;11;97;116;213;72;0;4;217
29/02/2020 17:00;ITA;Friuli Venezia Giulia;0;0;0;0;0;0;0;0;0
29/02/2020 17:00;ITA;Lazio;3;0;3;0;3;3;3;0;6
29/02/2020 17:00;ITA;Liguria;4;1;5;33;38;23;4;0;42
29/02/2020 17:00;ITA;Lombardia;256;80;336;216;552;84;40;23;615
29/02/2020 17:00;ITA;Marche;6;2;8;3;11;5;0;0;11
