Anno;Grado;Materia;Ordinatore;Ripartizione_geografica;Punteggio_WLE;ES;Deviazione_standard_WLE;ES_SD;Percentile5;Percentile25;Percentile75;Percentile95
2022-23;5;Inglese L;1;Nord Ovest;207,38;3,13;49,31;1,52;127,27;171,18;231,88;295,53
2022-23;5;Inglese L;2;Valle d'Aosta;210,45;4,15;48,76;2,00;133,29;178,49;231,88;295,53
2022-23;5;Inglese L;3;Piemonte;201,11;3,23;46,84;1,56;127,27;171,18;231,88;295,53
2022-23;5;Inglese L;4;Liguria;205,94;3,80;46,08;1,80;133,29;171,18;231,88;295,53
2022-23;5;Inglese L;5;Lombardia;210,02;4,57;50,44;2,24;127,27;171,18;253,15;295,53
2022-23;5;Inglese L;6;Nord Est;210,35;1,77;45,63;0,83;139,29;178,49;231,88;295,53
2022-23;5;Inglese L;7;Prov. Aut. Bolzano (l. it.);227,70;5,73;47,05;2,60;151,48;195,16;253,15;295,53
2022-23;5;Inglese L;8;Prov. Aut. Trento;208,60;5,29;46,88;2,51;139,29;178,49;231,88;295,53
2022-23;5;Inglese L;9;Veneto;207,46;3,13;43,63;1,44;139,29;178,49;231,88;295,53
2022-23;5;Inglese L;10;Friuli-Venezia Giulia;209,31;4,21;46,17;1,98;133,29;178,49;231,88;295,53
2022-23;5;Inglese L;11;Emilia-Romagna;213,37;2,43;47,07;1,14;141,51;178,49;250,69;295,53
2022-23;5;Inglese L;12;Centro;204,35;2,30;48,56;1,12;127,27;171,18;231,88;295,53
2022-23;5;Inglese L;13;Toscana;208,50;3,34;46,03;1,57;133,29;178,49;231,88;295,53
2022-23;5;Inglese L;14;Umbria;219,59;4,81;47,58;2,24;145,34;186,41;253,15;295,53
2022-23;5;Inglese L;15;Marche;212,25;4,15;45,34;1,92;139,29;178,49;242,28;295,53
2022-23;5;Inglese L;16;Lazio;197,66;3,68;49,85;1,85;114,96;164,32;231,88;295,53
2022-23;5;Inglese L;17;Sud;196,26;2,50;48,65;1,25;114,96;164,32;231,88;295,53
2022-23;5;Inglese L;18;Abruzzo;204,27;4,48;46,59;2,14;133,29;171,18;231,88;295,53
2022-23;5;Inglese L;19;Molise;205,11;3,88;46,73;1,85;139,29;174,09;231,88;295,53
2022-23;5;Inglese L;20;Campania;195,37;3,71;49,23;1,86;114,96;164,32;228,66;295,53
2022-23;5;Inglese L;21;Puglia;194,43;4,33;48,19;2,15;114,96;164,32;216,95;295,53
2022-23;5;Inglese L;22;Sud e Isole;185,58;2,44;50,56;1,27;101,83;151,48;216,95;295,53
2022-23;5;Inglese L;23;Basilicata;195,78;4,07;47,66;2,01;121,18;164,32;216,95;295,53
2022-23;5;Inglese L;24;Calabria;183,65;4,33;48,17;2,22;101,83;151,48;212,70;253,15
2022-23;5;Inglese L;25;Sicilia;185,50;3,82;52,20;2,03;101,83;151,48;216,95;295,53
2022-23;5;Inglese L;26;Sardegna;184,78;4,04;48,44;2,07;114,96;151,48;216,95;295,53
2022-23;5;Inglese L;99;Italia;202,07;1,25;49,22;0,62;121,18;171,18;231,88;295,53
2022-23;5;Inglese R;1;Nord Ovest;205,37;2,30;46,37;1,09;124,93;173,07;236,74;272,91
2022-23;5;Inglese R;2;Valle d'Aosta;210,24;2,68;45,76;1,25;124,93;187,12;236,74;272,91
2022-23;5;Inglese R;3;Piemonte;200,07;2,76;46,04;1,32;119,58;166,95;236,74;272,91
2022-23;5;Inglese R;4;Liguria;202,03;3,03;44,72;1,42;124,93;173,07;236,74;272,91
2022-23;5;Inglese R;5;Lombardia;207,85;3,30;46,51;1,56;130,12;178,46;236,74;272,91
2022-23;5;Inglese R;6;Nord Est;206,29;1,30;43,84;0,60;130,12;179,73;236,74;272,91
2022-23;5;Inglese R;7;Prov. Aut. Bolzano (l. it.);215,69;3,67;42,52;1,63;140,26;187,12;236,74;272,91
2022-23;5;Inglese R;8;Prov. Aut. Trento;204,76;4,00;44,21;1,86;124,93;179,73;236,74;272,91
2022-23;5;Inglese R;9;Veneto;205,42;2,29;43,61;1,05;130,12;179,73;236,74;272,91
2022-23;5;Inglese R;10;Friuli-Venezia Giulia;207,97;2,72;44,47;1,26;130,12;179,73;236,74;272,91
2022-23;5;Inglese R;11;Emilia-Romagna;206,73;1,95;43,88;0,90;135,21;178,46;236,74;272,91
2022-23;5;Inglese R;12;Centro;201,78;1,77;46,90;0,85;124,93;173,07;236,74;272,91
2022-23;5;Inglese R;13;Toscana;204,49;2,97;46,36;1,41;124,93;173,07;236,74;272,91
2022-23;5;Inglese R;14;Umbria;216,23;3,98;45,88;1,83;140,26;179,73;272,91;272,91
2022-23;5;Inglese R;15;Marche;209,10;2,56;45,69;1,20;130,12;179,73;236,74;272,91
2022-23;5;Inglese R;16;Lazio;196,22;2,65;46,82;1,30;119,58;166,11;231,20;272,91
2022-23;5;Inglese R;17;Sud;201,78;1,95;46,31;0,94;124,93;169,07;236,74;272,91
2022-23;5;Inglese R;18;Abruzzo;205,67;3,03;45,16;1,42;135,21;173,07;236,74;272,91
2022-23;5;Inglese R;19;Molise;205,02;3,14;44,70;1,47;130,12;173,07;236,74;272,91
2022-23;5;Inglese R;20;Campania;201,11;3,06;46,92;1,48;119,58;169,07;236,74;272,91
2022-23;5;Inglese R;21;Puglia;201,36;3,07;45,72;1,46;124,93;166,95;236,74;272,91
2022-23;5;Inglese R;22;Sud e Isole;188,94;1,90;48,35;0,96;108,07;155,74;218,45;272,91
2022-23;5;Inglese R;23;Basilicata;195,71;3,61;47,53;1,78;119,58;161,20;236,74;272,91
2022-23;5;Inglese R;24;Calabria;187,49;3,42;47,69;1,72;108,07;155,74;218,45;272,91
2022-23;5;Inglese R;25;Sicilia;188,61;2,96;49,30;1,51;108,07;152,20;218,45;272,91
2022-23;5;Inglese R;26;Sardegna;189,63;3,09;45,93;1,52;119,58;155,74;218,45;272,91
2022-23;5;Inglese R;99;Italia;201,79;0,93;46,61;0,45;124,93;172,10;236,74;272,91
2022-23;2;Italiano;1;Nord Ovest;194,39;2,06;48,59;1,03;112,13;165,08;228,34;280,21
2022-23;2;Italiano;2;Valle d'Aosta;193,47;4,00;47,92;1,99;112,13;154,16;228,34;280,21
2022-23;2;Italiano;3;Piemonte;192,24;3,12;46,06;1,52;112,13;156,75;228,34;280,21
2022-23;2;Italiano;4;Liguria;196,87;3,15;47,23;1,54;112,13;165,08;228,34;277,76
2022-23;2;Italiano;5;Lombardia;194,93;2,88;49,68;1,45;112,13;165,08;228,34;280,21
2022-23;2;Italiano;6;Nord Est;195,18;2,00;49,96;1,01;112,13;165,08;228,34;280,21
2022-23;2;Italiano;7;Prov. Aut. Bolzano (l. it.);196,40;4,03;48,20;1,99;112,13;165,08;228,34;280,21
2022-23;2;Italiano;8;Prov. Aut. Trento;199,78;3,20;47,76;1,56;128,66;165,08;228,34;280,21
2022-23;2;Italiano;9;Veneto;193,70;3,59;48,53;1,80;112,13;165,08;228,34;280,21
2022-23;2;Italiano;10;Friuli-Venezia Giulia;196,85;5,48;51,87;2,81;112,13;165,08;228,34;280,21
2022-23;2;Italiano;11;Emilia-Romagna;195,72;2,84;51,30;1,45;112,13;165,08;228,34;280,21
2022-23;2;Italiano;12;Centro;196,71;2,03;47,94;1,00;128,66;165,08;228,34;280,21
2022-23;2;Italiano;13;Toscana;195,80;3,04;47,13;1,49;112,13;165,08;228,34;280,21
2022-23;2;Italiano;14;Umbria;203,49;3,42;46,83;1,64;128,66;175,43;241,66;280,21
2022-23;2;Italiano;15;Marche;201,57;3,77;48,79;1,86;128,66;165,08;241,66;280,21
2022-23;2;Italiano;16;Lazio;195,07;3,44;48,20;1,71;122,94;165,08;228,34;280,21
2022-23;2;Italiano;17;Sud;194,73;2,00;46,90;0,98;128,66;165,08;228,34;280,21
2022-23;2;Italiano;18;Abruzzo;200,61;2,29;45,86;1,10;128,66;167,58;228,34;280,21
2022-23;2;Italiano;19;Molise;206,15;3,86;44,25;1,79;128,66;175,43;229,28;280,21
2022-23;2;Italiano;20;Campania;193,28;3,39;47,21;1,68;128,66;165,08;217,95;280,21
2022-23;2;Italiano;21;Puglia;194,36;2,31;46,67;1,13;112,13;165,08;223,48;280,21
2022-23;2;Italiano;22;Sud e Isole;187,78;1,78;46,24;0,88;112,13;154,16;216,61;257,86
2022-23;2;Italiano;23;Basilicata;205,12;3,77;45,10;1,77;128,66;175,43;228,34;280,21
2022-23;2;Italiano;24;Calabria;188,54;3,50;47,20;1,75;112,13;154,16;216,61;257,86
2022-23;2;Italiano;25;Sicilia;183,62;2,40;45,38;1,20;112,13;154,16;212,63;257,86
2022-23;2;Italiano;26;Sardegna;196,06;4,48;45,85;2,17;128,66;165,08;228,34;280,21
2022-23;2;Italiano;99;Italia;194,06;0,92;48,13;0,46;112,13;165,08;228,34;280,21
2022-23;5;Italiano;1;Nord Ovest;197,14;1,75;40,70;0,79;132,44;167,07;224,00;269,23
2022-23;5;Italiano;2;Valle d'Aosta;200,69;2,52;37,14;1,09;137,97;171,61;228,98;269,23
2022-23;5;Italiano;3;Piemonte;194,34;2,44;39,63;1,10;128,77;167,07;222,20;255,77
2022-23;5;Italiano;4;Liguria;197,36;3,04;39,44;1,36;131,91;171,61;222,20;269,23
2022-23;5;Italiano;5;Lombardia;198,18;2,47;41,25;1,13;132,44;171,61;228,98;269,23
2022-23;5;Italiano;6;Nord Est;194,19;1,46;40,21;0,67;126,55;167,07;222,20;255,77
2022-23;5;Italiano;7;Prov. Aut. Bolzano (l. it.);186,59;3,19;40,23;1,48;126,55;157,86;210,26;255,77
2022-23;5;Italiano;8;Prov. Aut. Trento;198,23;1,71;37,83;0,75;132,44;171,61;228,98;255,77
2022-23;5;Italiano;9;Veneto;191,51;2,75;41,44;1,28;120,20;162,50;220,88;255,77
2022-23;5;Italiano;10;Friuli-Venezia Giulia;198,75;2,27;36,95;0,98;137,86;176,14;222,20;255,77
2022-23;5;Italiano;11;Emilia-Romagna;195,73;1,90;39,66;0,86;132,44;171,61;222,20;255,77
2022-23;5;Italiano;12;Centro;199,09;1,45;39,51;0,65;132,44;171,61;222,20;269,23
2022-23;5;Italiano;13;Toscana;201,46;3,00;42,07;1,37;132,44;175,38;228,98;269,23
2022-23;5;Italiano;14;Umbria;210,58;2,86;39,82;1,24;143,23;185,29;236,56;269,23
2022-23;5;Italiano;15;Marche;201,71;2,86;41,34;1,29;132,44;171,61;228,98;269,23
2022-23;5;Italiano;16;Lazio;195,33;1,93;36,83;0,84;132,44;171,61;222,20;255,77
2022-23;5;Italiano;17;Sud;196,95;1,87;40,71;0,85;132,44;167,07;222,20;269,23
2022-23;5;Italiano;18;Abruzzo;202,09;2,27;39,82;1,01;132,44;176,14;224,00;269,23
2022-23;5;Italiano;19;Molise;203,60;2,65;39,25;1,16;137,97;176,14;236,56;269,23
2022-23;5;Italiano;20;Campania;195,02;2,90;40,41;1,32;132,44;167,07;222,20;269,23
2022-23;5;Italiano;21;Puglia;197,91;3,01;41,35;1,38;132,44;167,07;227,25;269,10
2022-23;5;Italiano;22;Sud e Isole;189,51;1,81;40,56;0,84;120,20;162,50;216,01;255,77
2022-23;5;Italiano;23;Basilicata;193,81;2,98;41,09;1,37;126,55;162,50;222,20;255,77
2022-23;5;Italiano;24;Calabria;193,98;3,42;42,91;1,61;126,55;162,50;222,20;269,23
2022-23;5;Italiano;25;Sicilia;185,44;2,55;39,64;1,18;120,20;157,86;214,97;245,29
2022-23;5;Italiano;26;Sardegna;196,14;3,91;38,60;1,73;126,55;171,61;222,20;255,77
2022-23;5;Italiano;99;Italia;195,83;0,78;40,46;0,35;126,55;167,07;222,20;256,53
2022-23;10;Italiano;1;Nord Ovest;203,38;2,43;37,44;1,04;137,06;177,96;228,06;265,63
2022-23;10;Italiano;2;Valle d'Aosta;204,19;6,15;35,99;2,58;141,95;181,45;229,94;263,19
2022-23;10;Italiano;3;Piemonte;199,27;3,90;37,46;1,69;131,22;176,79;223,85;259,56
2022-23;10;Italiano;4;Liguria;194,95;5,22;37,28;2,28;130,42;168,23;221,40;253,13
2022-23;10;Italiano;5;Lombardia;206,41;3,37;37,10;1,43;141,95;181,45;230,43;266,44
2022-23;10;Italiano;6;Nord Est;202,71;2,55;37,53;1,10;136,98;177,96;228,86;262,41
2022-23;10;Italiano;7;Prov. Aut. Bolzano (l. it.);193,83;7,41;41,90;3,44;130,42;161,54;222,49;259,56
2022-23;10;Italiano;8;Prov. Aut. Trento;215,31;3,95;30,84;1,49;167,41;195,79;236,53;263,32
2022-23;10;Italiano;9;Veneto;206,02;3,76;35,94;1,57;142,60;182,56;229,13;263,32
2022-23;10;Italiano;10;Friuli-Venezia Giulia;205,23;4,67;35,61;1,94;144,60;182,33;229,13;261,45
2022-23;10;Italiano;11;Emilia-Romagna;197,77;4,44;39,21;1,98;131,22;171,13;227,26;259,56
2022-23;10;Italiano;12;Centro;196,93;2,08;37,86;0,91;131,22;172,12;222,34;256,74
2022-23;10;Italiano;13;Toscana;197,79;3,59;38,29;1,58;128,60;173,40;224,03;256,74
2022-23;10;Italiano;14;Umbria;198,98;6,61;40,46;2,98;130,42;173,40;228,01;263,19
2022-23;10;Italiano;15;Marche;195,90;5,18;37,35;2,26;131,02;170,56;221,94;256,74
2022-23;10;Italiano;16;Lazio;196,34;3,21;37,28;1,40;135,67;170,60;221,40;256,02
2022-23;10;Italiano;17;Sud;187,73;2,52;40,32;1,17;122,69;161,62;214,49;251,72
2022-23;10;Italiano;18;Abruzzo;196,54;5,40;39,83;2,43;131,22;171,06;222,49;261,78
2022-23;10;Italiano;19;Molise;196,43;7,53;41,66;3,47;125,13;167,93;228,01;259,34
2022-23;10;Italiano;20;Campania;185,97;3,38;37,23;1,51;125,13;161,54;210,53;245,71
2022-23;10;Italiano;21;Puglia;187,39;4,84;44,56;2,36;116,37;162,37;216,27;253,13
2022-23;10;Italiano;22;Sud e Isole;186,87;2,47;37,87;1,11;125,13;161,54;214,07;250,12
2022-23;10;Italiano;23;Basilicata;192,75;6,44;38,67;2,88;130,42;165,77;221,40;253,88
2022-23;10;Italiano;24;Calabria;185,53;5,58;40,91;2,62;120,19;159,66;212,66;253,13
2022-23;10;Italiano;25;Sicilia;185,67;3,53;36,22;1,56;125,40;161,43;212,19;244,89
2022-23;10;Italiano;26;Sardegna;190,13;5,24;38,18;2,35;130,42;163,44;216,52;252,22
2022-23;10;Italiano;99;Italia;196,08;1,15;38,87;0,51;131,22;170,56;222,34;256,74
2022-23;2;Matematica;1;Nord Ovest;192,86;2,12;44,84;1,02;128,03;162,81;224,45;266,69
2022-23;2;Matematica;2;Valle d'Aosta;187,57;3,35;43,28;1,61;119,30;156,55;217,44;261,15
2022-23;2;Matematica;3;Piemonte;188,96;3,39;44,27;1,64;119,30;156,55;217,86;261,15
2022-23;2;Matematica;4;Liguria;185,52;3,21;45,26;1,58;113,15;156,55;217,44;261,15
2022-23;2;Matematica;5;Lombardia;195,35;2,88;44,81;1,38;128,03;162,81;224,45;275,45
2022-23;2;Matematica;6;Nord Est;191,50;1,99;45,33;0,97;119,30;162,81;224,45;261,15
2022-23;2;Matematica;7;Prov. Aut. Bolzano (l. it.);190,62;3,07;42,02;1,44;128,03;162,81;217,86;261,15
2022-23;2;Matematica;8;Prov. Aut. Trento;201,95;3,72;46,73;1,79;128,03;168,88;232,02;275,45
2022-23;2;Matematica;9;Veneto;191,28;4,06;44,58;1,96;128,03;162,81;224,45;273,81
2022-23;2;Matematica;10;Friuli-Venezia Giulia;199,07;3,90;46,42;1,88;135,92;162,81;232,02;275,45
2022-23;2;Matematica;11;Emilia-Romagna;188,62;1,96;45,38;0,96;119,30;156,55;217,86;261,15
2022-23;2;Matematica;12;Centro;191,94;1,99;44,51;0,96;119,30;162,81;217,44;261,15
2022-23;2;Matematica;13;Toscana;190,71;3,24;44,13;1,56;119,30;162,81;217,44;261,15
2022-23;2;Matematica;14;Umbria;197,22;2,05;43,33;0,96;128,03;168,88;224,45;275,45
2022-23;2;Matematica;15;Marche;196,73;3,88;45,05;1,85;128,03;162,81;224,45;275,45
2022-23;2;Matematica;16;Lazio;190,73;3,31;44,62;1,60;119,30;162,81;217,44;261,15
2022-23;2;Matematica;17;Sud;191,24;2,39;46,34;1,18;119,30;162,00;217,86;275,45
2022-23;2;Matematica;18;Abruzzo;197,39;2,42;42,57;1,12;128,20;168,88;224,45;266,69
2022-23;2;Matematica;19;Molise;201,76;3,24;41,11;1,46;143,21;174,82;224,45;275,45
2022-23;2;Matematica;20;Campania;189,30;4,00;48,12;2,02;119,30;156,55;217,44;275,45
2022-23;2;Matematica;21;Puglia;191,65;2,94;44,63;1,42;128,03;162,81;217,86;275,45
2022-23;2;Matematica;22;Sud e Isole;179,53;1,89;42,72;0,92;118,54;150,05;204,51;249,88
2022-23;2;Matematica;23;Basilicata;201,77;3,36;44,76;1,58;135,92;168,88;232,02;275,45
2022-23;2;Matematica;24;Calabria;178,09;3,21;41,35;1,55;109,39;150,05;204,51;249,88
2022-23;2;Matematica;25;Sicilia;176,87;2,76;42,03;1,34;113,15;150,05;204,51;249,88
2022-23;2;Matematica;26;Sardegna;183,53;4,38;43,82;2,14;119,30;150,05;210,83;249,88
2022-23;2;Matematica;99;Italia;190,11;0,99;45,08;0,48;119,30;158,70;217,44;261,15
2022-23;5;Matematica;1;Nord Ovest;191,07;1,91;40,95;0,88;129,76;163,21;216,41;261,21
2022-23;5;Matematica;2;Valle d'Aosta;187,12;3,92;40,30;1,82;129,76;159,94;211,63;261,21
2022-23;5;Matematica;3;Piemonte;189,38;2,49;41,88;1,17;123,58;159,94;216,41;260,71
2022-23;5;Matematica;4;Liguria;189,80;3,09;38,38;1,39;129,76;164,34;216,41;252,57
2022-23;5;Matematica;5;Lombardia;191,96;2,75;40,88;1,27;129,76;164,34;221,41;261,21
2022-23;5;Matematica;6;Nord Est;191,17;1,26;39,54;0,57;129,76;164,34;216,41;261,21
2022-23;5;Matematica;7;Prov. Aut. Bolzano (l. it.);187,11;2,86;39,63;1,32;129,76;159,94;211,63;252,57
2022-23;5;Matematica;8;Prov. Aut. Trento;200,48;2,27;38,61;1,00;140,84;172,90;226,69;261,21
2022-23;5;Matematica;9;Veneto;189,30;2,32;39,55;1,06;123,58;164,34;216,41;252,57
2022-23;5;Matematica;10;Friuli-Venezia Giulia;198,03;3,69;39,26;1,64;135,48;172,90;221,41;261,21
2022-23;5;Matematica;11;Emilia-Romagna;190,44;1,54;39,35;0,70;129,76;159,94;216,41;261,21
2022-23;5;Matematica;12;Centro;192,40;1,57;39,77;0,71;129,76;164,34;219,70;261,21
2022-23;5;Matematica;13;Toscana;193,89;2,93;40,40;1,34;129,76;164,34;221,41;261,21
2022-23;5;Matematica;14;Umbria;208,98;3,18;40,62;1,40;140,84;181,29;232,32;285,01
2022-23;5;Matematica;15;Marche;197,41;2,85;40,40;1,29;130,00;168,66;222,18;271,62
2022-23;5;Matematica;16;Lazio;187,83;2,22;38,20;1,00;129,76;164,34;211,63;252,44
2022-23;5;Matematica;17;Sud;193,07;2,23;42,34;1,05;129,76;164,34;221,41;271,62
2022-23;5;Matematica;18;Abruzzo;198,01;2,61;40,39;1,18;135,48;172,90;226,69;271,62
2022-23;5;Matematica;19;Molise;202,63;3,79;40,45;1,69;135,48;177,11;232,32;271,62
2022-23;5;Matematica;20;Campania;191,34;3,52;43,14;1,67;123,58;164,34;216,41;271,62
2022-23;5;Matematica;21;Puglia;193,57;3,51;41,56;1,63;129,76;164,34;221,41;261,21
2022-23;5;Matematica;22;Sud e Isole;180,61;1,84;40,73;0,87;116,79;150,76;207,02;252,57
2022-23;5;Matematica;23;Basilicata;192,66;3,01;42,13;1,41;129,76;164,34;221,41;261,21
2022-23;5;Matematica;24;Calabria;183,41;3,30;41,26;1,57;116,79;155,42;207,02;252,57
2022-23;5;Matematica;25;Sicilia;177,62;2,71;39,85;1,28;116,79;150,76;202,54;248,72
2022-23;5;Matematica;26;Sardegna;182,98;3,97;41,33;1,89;116,79;150,76;211,63;245,08
2022-23;5;Matematica;99;Italia;190,25;0,84;40,89;0,39;126,85;163,21;216,41;261,21
2022-23;10;Matematica;1;Nord Ovest;205,21;2,80;35,87;1,17;153,05;179,37;228,67;274,79
2022-23;10;Matematica;2;Valle d'Aosta;203,97;6,62;33,77;2,69;156,02;178,90;223,54;266,14
2022-23;10;Matematica;3;Piemonte;202,36;4,30;34,61;1,78;151,50;177,68;223,96;264,61
2022-23;10;Matematica;4;Liguria;198,14;5,94;35,27;2,50;143,27;173,57;219,38;264,10
2022-23;10;Matematica;5;Lombardia;207,53;3,94;36,30;1,65;153,71;181,58;229,53;275,82
2022-23;10;Matematica;6;Nord Est;206,54;2,86;35,73;1,19;153,34;180,90;229,53;265,99
2022-23;10;Matematica;7;Prov. Aut. Bolzano (l. it.);200,92;5,45;32,79;2,20;153,71;175,58;222,91;263,83
2022-23;10;Matematica;8;Prov. Aut. Trento;224,80;6,25;34,79;2,46;170,71;201,05;248,19;291,81
2022-23;10;Matematica;9;Veneto;210,11;4,11;33,55;1,64;160,19;185,98;233,39;265,56
2022-23;10;Matematica;10;Friuli-Venezia Giulia;206,10;5,93;35,70;2,47;155,78;179,37;229,03;274,72
2022-23;10;Matematica;11;Emilia-Romagna;201,29;5,00;37,00;2,14;145,66;173,62;228,21;265,56
2022-23;10;Matematica;12;Centro;197,80;2,43;34,42;1,01;148,69;172,97;218,76;263,35
2022-23;10;Matematica;13;Toscana;200,48;4,76;35,94;2,02;148,69;174,09;223,32;265,54
2022-23;10;Matematica;14;Umbria;202,49;6,76;37,05;2,89;151,21;174,09;227,11;266,14
2022-23;10;Matematica;15;Marche;201,80;6,12;36,82;2,62;148,69;173,62;223,96;265,56
2022-23;10;Matematica;16;Lazio;194,27;3,49;31,87;1,41;148,69;171,37;213,74;254,41
2022-23;10;Matematica;17;Sud;187,63;2,34;33,54;0,99;140,41;164,71;206,44;248,63
2022-23;10;Matematica;18;Abruzzo;199,76;6,39;37,83;2,78;150,99;171,37;223,96;275,90
2022-23;10;Matematica;19;Molise;199,45;8,00;38,25;3,50;143,27;170,95;223,21;274,72
2022-23;10;Matematica;20;Campania;182,67;3,06;31,20;1,26;137,34;160,67;201,49;239,65
2022-23;10;Matematica;21;Puglia;191,26;4,28;33,90;1,80;144,41;167,55;211,63;254,73
2022-23;10;Matematica;22;Sud e Isole;182,58;2,29;31,45;0,95;137,34;160,33;201,43;240,22
2022-23;10;Matematica;23;Basilicata;191,19;6,60;35,96;2,86;142,87;165,71;214,53;263,06
2022-23;10;Matematica;24;Calabria;181,56;4,54;32,42;1,92;136,23;158,25;201,49;239,77
2022-23;10;Matematica;25;Sicilia;180,65;3,37;29,75;1,37;137,34;160,33;198,17;234,22
2022-23;10;Matematica;26;Sardegna;186,72;5,06;32,61;2,11;140,61;163,32;205,90;245,98
2022-23;10;Matematica;99;Italia;196,74;1,27;35,61;0,54;145,66;171,37;218,75;263,77
2022-23;5;Inglese L;1;Nord Ovest;207,38;3,13;49,31;1,52;127,27;171,18;231,88;295,53
2022-23;5;Inglese L;2;Valle d'Aosta;210,45;4,15;48,76;2,00;133,29;178,49;231,88;295,53
2022-23;5;Inglese L;3;Piemonte;201,11;3,23;46,84;1,56;127,27;171,18;231,88;295,53
2022-23;5;Inglese L;4;Liguria;205,94;3,80;46,08;1,80;133,29;171,18;231,88;295,53
2022-23;5;Inglese L;5;Lombardia;210,02;4,57;50,44;2,24;127,27;171,18;253,15;295,53
2022-23;5;Inglese L;6;Nord Est;210,35;1,77;45,63;0,83;139,29;178,49;231,88;295,53
2022-23;5;Inglese L;7;Prov. Aut. Bolzano (l. it.);227,70;5,73;47,05;2,60;151,48;195,16;253,15;295,53
2022-23;5;Inglese L;8;Prov. Aut. Trento;208,60;5,29;46,88;2,51;139,29;178,49;231,88;295,53
2022-23;5;Inglese L;9;Veneto;207,46;3,13;43,63;1,44;139,29;178,49;231,88;295,53
2022-23;5;Inglese L;10;Friuli-Venezia Giulia;209,31;4,21;46,17;1,98;133,29;178,49;231,88;295,53
2022-23;5;Inglese L;11;Emilia-Romagna;213,37;2,43;47,07;1,14;141,51;178,49;250,69;295,53
2022-23;5;Inglese L;12;Centro;204,35;2,30;48,56;1,12;127,27;171,18;231,88;295,53
2022-23;5;Inglese L;13;Toscana;208,50;3,34;46,03;1,57;133,29;178,49;231,88;295,53
2022-23;5;Inglese L;14;Umbria;219,59;4,81;47,58;2,24;145,34;186,41;253,15;295,53
2022-23;5;Inglese L;15;Marche;212,25;4,15;45,34;1,92;139,29;178,49;242,28;295,53
2022-23;5;Inglese L;16;Lazio;197,66;3,68;49,85;1,85;114,96;164,32;231,88;295,53
2022-23;5;Inglese L;17;Sud;196,26;2,50;48,65;1,25;114,96;164,32;231,88;295,53
2022-23;5;Inglese L;18;Abruzzo;204,27;4,48;46,59;2,14;133,29;171,18;231,88;295,53
2022-23;5;Inglese L;19;Molise;205,11;3,88;46,73;1,85;139,29;174,09;231,88;295,53
2022-23;5;Inglese L;20;Campania;195,37;3,71;49,23;1,86;114,96;164,32;228,66;295,53
2022-23;5;Inglese L;21;Puglia;194,43;4,33;48,19;2,15;114,96;164,32;216,95;295,53
2022-23;5;Inglese L;22;Sud e Isole;185,58;2,44;50,56;1,27;101,83;151,48;216,95;295,53
2022-23;5;Inglese L;23;Basilicata;195,78;4,07;47,66;2,01;121,18;164,32;216,95;295,53
2022-23;5;Inglese L;24;Calabria;183,65;4,33;48,17;2,22;101,83;151,48;212,70;253,15
2022-23;5;Inglese L;25;Sicilia;185,50;3,82;52,20;2,03;101,83;151,48;216,95;295,53
2022-23;5;Inglese L;26;Sardegna;184,78;4,04;48,44;2,07;114,96;151,48;216,95;295,53
2022-23;5;Inglese L;99;Italia;202,07;1,25;49,22;0,62;121,18;171,18;231,88;295,53
2021-22;5;Inglese R;18;Abruzzo;206,74;3,05;37,93;1,31;148,66;178,22;225,60;292,00
2021-22;5;Inglese R;23;Basilicata;207,58;2,17;36,54;0,91;150,96;184,58;226,23;260,43
2021-22;5;Inglese R;24;Calabria;194,46;3,40;40,02;1,54;130,39;166,15;215,25;256,51
2021-22;5;Inglese R;20;Campania;202,88;3,11;40,89;1,40;136,68;174,25;225,60;292,00
2021-22;5;Inglese R;12;Centro;209,63;1,63;38,35;0,70;148,66;184,58;238,47;292,00
2021-22;5;Inglese R;11;Emilia-Romagna;206,61;1,27;36,66;0,54;148,66;184,58;225,60;292,00
2021-22;5;Inglese R;10;Friuli-Venezia Giulia;205,42;2,16;35,38;0,90;154,50;183,78;225,60;277,04
2021-22;5;Inglese R;99;Italia;205,81;0,77;38,12;0,33;148,66;178,22;225,60;292,00
2021-22;5;Inglese R;16;Lazio;211,91;2,78;39,14;1,20;150,96;184,58;238,47;292,00
2021-22;5;Inglese R;4;Liguria;208,76;2,98;36,94;1,25;154,50;184,58;232,65;292,00
2021-22;5;Inglese R;5;Lombardia;206,73;2,16;37,43;0,92;154,50;184,58;225,60;292,00
2021-22;5;Inglese R;15;Marche;211,16;2,01;34,61;0,81;154,50;187,14;226,23;292,00
2021-22;5;Inglese R;19;Molise;213,40;3,73;38,55;1,59;154,50;184,58;238,47;292,00
2021-22;5;Inglese R;6;Nord Est;208,72;1,08;36,45;0,45;154,50;184,58;225,60;292,00
2021-22;5;Inglese R;1;Nord Ovest;207,01;1,60;37,05;0,68;154,50;184,58;225,60;292,00
2021-22;5;Inglese R;3;Piemonte;207,02;2,76;36,17;1,15;148,66;184,58;225,60;277,04
2021-22;5;Inglese R;7;Prov. Aut. Bolzano (l. it.);214,88;2,02;35,84;0,83;160,30;191,30;238,47;292,00
2021-22;5;Inglese R;8;Prov. Aut. Trento;210,24;2,57;35,15;1,05;154,50;184,58;226,23;292,00
